task,strategy,accuracy,avg_latency_seconds,avg_total_tokens,avg_model_calls
game24,best_of_n_k5_self_eval,0.0,61.88299708366394,5779.7,10.0
game24,frugal_reason_v3,0.0,78.68839268684387,4684.3,7.0
game24,greedy_cot,0.0,9.074071311950684,528.4,1.0
game24,greedy_io,0.0,7.028239464759826,378.5,1.0
game24,self_consistency_k5,0.0,47.199826502799986,2763.5,5.0
game24,zero_shot_tot_k3,0.0,35.07998898029327,1832.7,11.2
gsm8k,best_of_n_k5_self_eval,0.7222222222222222,50.35959809356265,4590.416666666667,10.0
gsm8k,frugal_reason_v3,0.9166666666666666,24.287005583445232,1654.1944444444443,3.5833333333333335
gsm8k,greedy_cot,0.8055555555555556,7.289826810359955,441.77777777777777,1.0
gsm8k,greedy_io,0.8611111111111112,5.6703702211380005,315.1388888888889,1.0
gsm8k,self_consistency_k5,0.8888888888888888,36.76358030902015,2224.3888888888887,5.0
gsm8k,zero_shot_tot_k3,0.8055555555555556,7.211520976490444,438.4166666666667,1.0
strategyqa,best_of_n_k5_self_eval,0.5277777777777778,49.07045625978046,3972.1666666666665,10.0
strategyqa,frugal_reason_v3,0.6111111111111112,21.83485150999493,1339.5,3.9722222222222223
strategyqa,greedy_cot,0.5833333333333334,6.789918462435405,361.1666666666667,1.0
strategyqa,greedy_io,0.4166666666666667,2.8096978863080344,88.80555555555556,1.0
strategyqa,self_consistency_k5,0.6111111111111112,35.2207983467314,1908.9722222222222,5.0
strategyqa,zero_shot_tot_k3,0.5833333333333334,6.678743150499132,358.5833333333333,1.0
